,ID,Title,Difficulty,Repetitions,Done,Data structure used,Algorithm Used,Complexity,Needs Repetition,Notes
1,1,Two Sum,Easy,3,0,,,,,
2,53,Maximum Subarray,Easy,3,0,,,,,
3,70,Climbing Stairs,Easy,3,0,,,,,
4,206,Reverse Linked List,Easy,3,0,,,,,
5,231,Power of Two,Easy,3,0,,,,,
6,415,Add Strings,Easy,3,0,,,,,
7,706,Design HashMap,Easy,3,0,,,,,
8,2,Add Two Numbers,Medium,3,0,,,,,
9,8,String to Integer (atoi),Medium,3,0,,,,,
10,22,Generate Parentheses,Medium,3,0,,,,,
11,33,Search in Rotated Sorted Array,Medium,3,0,,,,,
12,48,Rotate Image,Medium,3,0,,,,,
13,64,Minimum Path Sum,Medium,3,0,,,,,
14,114,Flatten Binary Tree to Linked List,Medium,3,0,,,,,
15,146,LRU Cache,Medium,3,0,,,,,
16,151,Reverse Words in a String,Medium,3,0,,,,,
17,199,Binary Tree Right Side View,Medium,3,0,,,,,
18,200,Number of Islands,Medium,3,0,,,,,
19,739,Daily Temperatures,Medium,3,0,,,,,
20,23,Merge k Sorted Lists,Hard,3,0,,,,,
21,42,Trapping Rain Water,Hard,3,0,,,,,
22,97,Interleaving String,Medium,3,0,,,,,
23,7,Reverse Integer,Medium,2,0,,,,,
24,9,Palindrome Number,Easy,2,0,,,,,
25,13,Roman to Integer,Easy,2,0,,,,,
26,14,Longest Common Prefix,Easy,2,0,,,,,
27,20,Valid Parentheses,Easy,2,0,,,,,
28,21,Merge Two Sorted Lists,Easy,2,0,,,,,
29,26,Remove Duplicates from Sorted Array,Easy,2,0,,,,,
30,28,Implement strStr(),Easy,2,0,,,,,
31,35,Search Insert Position,Easy,2,0,,,,,
32,38,Count and Say,Medium,2,0,,,,,
33,66,Plus One,Easy,2,0,,,,,
34,67,Add Binary,Easy,2,0,,,,,
35,69,Sqrt(x),Easy,2,0,,,,,
36,83,Remove Duplicates from Sorted List,Easy,2,0,,,,,
37,88,Merge Sorted Array,Easy,2,0,,,,,
38,100,Same Tree,Easy,2,0,,,,,
39,101,Symmetric Tree,Easy,2,0,,,,,
40,104,Maximum Depth of Binary Tree,Easy,2,0,,,,,
41,108,Convert Sorted Array to Binary Search Tree,Easy,2,0,,,,,
42,110,Balanced Binary Tree,Easy,2,0,,,,,
43,118,Pascal's Triangle,Easy,2,0,,,,,
44,121,Best Time to Buy and Sell Stock,Easy,2,0,,,,,
45,122,Best Time to Buy and Sell Stock II,Easy,2,0,,,,,
46,125,Valid Palindrome,Easy,2,0,,,,,
47,136,Single Number,Easy,2,0,,,,,
48,141,Linked List Cycle,Easy,2,0,,,,,
49,155,Min Stack,Easy,2,0,,,,,
